"","timeId","mcYear","weekly_water_amount_0","weekly_water_amount_42000","weekly_water_amount_84000","weekly_water_amount_126000","weekly_water_amount_168000"
"224",45,4,0,1090245,1635279,2180313,2725347
"225",45,5,0,1090245,1635279,2180313,2725347
"226",46,1,0,1766374,2311408,2856442,3401476
"227",46,2,0,1766374,2311408,2856442,3401476
"228",46,3,0,1766374,2311408,2856442,3401476
"229",46,4,0,1766374,2311408,2856442,3401476
"230",46,5,0,1766374,2311408,2856442,3401476
"231",47,1,0,1980787,2525821,3070855,3615889
"232",47,2,0,1980787,2525821,3070855,3615889
"233",47,3,0,1980787,2525821,3070855,3615889
"234",47,4,0,1980787,2525821,3070855,3615889
"235",47,5,0,1980787,2525821,3070855,3615889
"236",48,1,0,1986460,3746852,4291886,4836920
"237",48,2,0,1986649,3746852,4291886,4836920
"238",48,3,0,1986460,3746852,4291886,4836920
"239",48,4,0,1986460,3746852,4291886,4836920
"240",48,5,0,1986460,3746852,4291886,4836920
"241",49,1,0,1990470,4004008,4613327,5158361
"242",49,2,0,1997600,4004008,4613327,5158361
"243",49,3,0,1985089,4004008,4613327,5158361
"244",49,4,0,1988379,4004008,4613327,5158361
"245",49,5,0,1988379,4004008,4613327,5158361
"246",50,1,0,2003478,3127673,3672707,4217741
"247",50,2,0,2003066,3127673,3672707,4217741
"248",50,3,0,2004969,3127673,3672707,4217741
"249",50,4,0,2015526,3127673,3672707,4217741
"250",50,5,0,2015526,3127673,3672707,4217741
"251",51,1,0,1987197,3986785,4734904,5279938
"252",51,2,0,1987111,3986785,4734904,5279938
"253",51,3,0,1987197,3988790,4734904,5279938
"254",51,4,0,1988003,3988790,4734904,5279938
"255",51,5,0,1988003,3988790,4734904,5279938
"256",52,1,0,2045706,2616429,3161463,3706497
"257",52,2,0,2039605,2616429,3161463,3706497
"258",52,3,0,2035509,2616429,3161463,3706497
"259",52,4,0,2034069,2616429,3161463,3706497
"260",52,5,0,2034069,2616429,3161463,3706497
